site#,site,veg_comm,rest_status,cond_rs,gps_northing,gps_easting,cabbage_palm_coverage,total_snags (w&w/out cavities),avg_cc_ab,L1_coverage,L1_avg_h,L1_avg_d,L1_avggw,L2_coverage,L2_avg_h,L2_avg_d,L2_avggw,L3_coverage,L3_avg_h,L3_avg_d,L3_avggw,L4_coverage,L4_avg_h,L4_avg_d,L4_avggw,L5_coverage,L5_avg_h,L5_avg_d,L5_avggw
11,CS191,mangrove,reference_Col,reference,25.98645,-81.59335,1,3,45.88,,,,,,,,,,,,,4,4.62,0,0.34,,,,
12,FP62,cypress_swamp,reference_Pan,reference,26.18256,-81.48425,1,0,3.15,4,0.72,0.72,0.05,3,5.24,1.04,0.88,,,,,4,7.26,3.62,1.25,,,,
13,FP65,cypress_swamp,reference_Pan,reference,26.16134,-81.3938,1,1,8.53,4,0.07,0.07,0.1,4,1.58,0.16,0.37,3,4.66,1.82,1.67,4,6.18,1.87,0.81,,,,
14,FP69,cypress_swamp,reference_Pan,reference,26.18588,-81.45573,1,1,2.98,4,0.46,0.46,0.11,1,2.41,-0.22,5.87,1,4.57,1.87,11.71,4,7.18,3.5,0.4,,,,
15,FP77,freshwater_forested_wetland,reference_Pan,reference,26.16925,-81.44456,1,1,2.9,4,0.98,0.98,0.1,4,3.34,1.22,0.2,,5.68,1.82,1.38,,8.68,3.52,2.57,,,,
16,FP79,freshwater_forested_wetland,reference_Pan,reference,26.17444,-81.44632,2,5,67.1,4,0.85,0.85,0.05,2,3,1.06,3.86,,,,,2,7.18,2.48,7.36,,,,
17,FS103,cypress_swamp,reference_Fak,reference,26.10233,-81.39657,2,0,4.6,4,1.3,1.3,,2,4.38,1.04,1.12,3,6.26,3.16,1.54,3,8.98,5.02,6.14,,,,
18,FS105,cypress_swamp,reference_Fak,reference,26.09806,-81.42325,2,42,96,1,0.78,0.78,0.31,2,2.64,0.55,2.49,,,,,,4.66,1.85,0.63,,7.16,3.74,10.14
19,FS113,freshwater_forested_wetland,reference_Fak,reference,25.96693,-81.38464,1,0,3.08,4,0.64,0.64,0.63,2,2.9,1.08,2.57,,,,,4,6.16,2.13,0.4,,7.82,2.75,10.51
20,FS116,cypress_swamp,reference_Fak,reference,25.99781,-81.41396,1,1,5.98,4,0.72,0.72,0.05,4,4.7,1.33,0.64,,,,,3,51.42,4.14,3.17,,,,
21,FS118,freshwater_non_forested_wetland,reference_Fak,reference,26.11091,-81.42745,1,3,65.1,4,0.66,0.66,0.01,1,2.16,0.74,4.14,,,,,1,5.43,1.14,12.04,1,6.52,2.54,18.89
22,FS123,cypress_swamp,reference_Fak,reference,26.04552,-81.39944,1,1,2.28,4,1.32,1.32,1.06,2,2.76,1.04,2.1,,,,,4,7.6,2.68,0.14,,,,
23,FS129,freshwater_non_forested_wetland/ wet_prairie,reference_Fak,reference,26.10007,-81.42876,1,1,93.75,4,2,2,0.01,1,3.66,1.24,9.04,,,,,,,,,1,5.98,1.9,17
24,FS133,cypress_swamp,reference_Fak,reference,26.08993,-81.40038,1,0,0.95,3,0.98,0.98,0.3,2,3.13,1.18,2.48,,5.78,2.8,1.37,,8.9,4.06,1.03,,,,
25,FS136,freshwater_forested_wetland,reference_Fak,reference,26.14661,-81.42514,2,0,2.65,4,1.1,1.1,0.1,3,3.96,1.92,0.83,3,5.66,2.28,1.35,3,7.76,3.98,1.67,,,,
26,FS140,freshwater_forested_wetland,reference_Fak,reference,25.95898,-81.42368,2,0,3.9,3,0.76,0.76,0.6,2,1.96,0.5,0.74,3,3.5,0.56,0.69,4,6.66,3.08,1,,,,
27,FS142,cypress_swamp,reference_Fak,reference,26.04173,-81.42773,1,2,0.8,2,1.04,1.04,1.71,,,,,1,5.58,1.6,4.14,4,8.24,4.07,0.83,,,,
28,FS151,cypress_swamp,reference_Fak,reference,26.00747,-81.40836,1,0,0.18,2,1.06,1.06,1.39,,3.6,1.72,1.63,,,,,,6.86,2.43,0.56,,8.56,3.81,9
29,FS154,freshwater_forested_wetland,reference_Fak,reference,25.97774,-81.45673,1,0,18.85,4,1.46,1.46,0.05,3,4.9,2.84,1.36,,,,,,,,,,6.92,1.98,11.71
30,FS155,freshwater_forested_wetland,reference_Fak,reference,26.11526,-81.42809,1,13,30.18,4,0.86,0.86,0.01,2,4.1,2.82,6.43,,,,,2,6.31,2.42,3.27,,,,
31,FS168,cypress_swamp,reference_Fak,reference,25.97667,-81.39653,1,1,0.33,,,,,4,2.06,0.58,0.48,3,5.4,2.22,1.57,4,8,4.52,0.46,,,,
32,FS172,freshwater_forested_wetland,reference_Fak,reference,26.067,-81.39898,1,0,0.7,4,1.02,1.02,0.12,,,,,4,3.66,2.36,1.36,4,6.47,2.23,0.65,1,8.04,3.14,20
33,FS177,freshwater_forested_wetland,reference_Fak,reference,26.04268,-81.41308,2,1,14.58,4,1.36,1.36,0.05,3,4.16,1.36,0.32,3,5.7,1.78,3.71,2,8.77,2.13,13.5,,,,
34,FS178,freshwater_forested_wetland,reference_Fak,reference,26.04379,-81.41946,1,2,5.45,4,0.86,0.86,0.22,,,,,,,,,4,6.42,1.54,0.26,,,,
35,FS181,cypress_swamp,reference_Fak,reference,25.98124,-81.42895,1,1,1.78,3,1.32,1.32,0.14,1,3.92,1.32,2.86,,,,,4,7.42,3.66,0.46,,,,
36,FS43,cypress_swamp,reference_Fak,reference,26.00282,-81.44872,1,0,25.15,4,1.2,1.2,0.05,4,3.7,1.06,0.56,,,,,2,6.18,1.74,7.47,,,,
37,FS85,cypress_swamp,reference_Fak,reference,25.94841,-81.46782,1,2,1.95,4,1.5,1.5,0.05,4,5.32,1.58,0.18,,,,,3,7.12,2.74,2.86,,9.43,4.95,9.17
38,FS86,freshwater_forested_wetland,reference_Fak,reference,26.01276,-81.40442,1,0,1.58,4,0.86,0.86,0.39,1,2.94,1.16,0.66,,,,,4,7.16,2.04,6.07,1,8.22,4.19,20.27
39,FS93,freshwater_forested_wetland,reference_Fak,reference,25.98681,-81.39125,2,0,2.63,4,0.15,0.15,0.44,4,1.24,0.54,0.53,3,3.3,1.12,1.03,4,6.28,2.48,1.88,,,,
40,FS95,cypress_swamp,reference_Fak,reference,26.01556,-81.39997,1,0,2.83,1,0.82,0.82,7.64,2,3.12,1.18,1.52,,,,,4,6.52,1.74,1.41,1,8.73,3.03,15.55
41,FS99,freshwater_forested_wetland,reference_Fak,reference,26.13456,-81.39945,1,1,0.35,4,1.18,1.18,0.11,2,3.9,1.42,2.46,,,,,4,7.46,4.18,0.34,,,,
42,PS0,pine_flatwoods,unrestored,unrestored,26.03817,-81.52801,2,0,34.2,4,1.12,1.12,,2,2.36,1.02,,,,,,,,,,2,5.4,2.24,
43,PS07,exotic_dom_forest,unrestored,unrestored,26.14694,-81.50115,3,1,22.38,1,9.32,9.32,,3,6.72,2.42,,,,,,4,7.24,4.2,5.4,4,1.1,0,1
44,PS10,mixed_forest,unrestored,unrestored,26.02592,-81.55489,4,4,41.55,4,,,0.25,,,,,,,,,,,,,,,,
45,PS11,exotic_dom_forest,unrestored,unrestored,26.00356,-81.52341,2,5,47,,1.4,1.4,0.4,,3.24,0.26,4.27,,,,,,5.22,1.28,6.89,,6.78,2.94,9.54
46,PS123,pine_flatwoods,partially_restored,partially_restored,26.0256,-81.50887,3,1,50.2,1,7.15,7.15,2,5.39,2.4,8,,,,,,4,2.66,0.5,0.7,,,,
47,PS127,exotic_dom_forest,partially_restored,partially_restored,26.09872,-81.5064,3,0,37.6,4,0.91,0.91,0.5,1,2.2,1.66,10,,,,,3,5.06,2.06,5,1,5.5,2.4,20
48,PS130,exotic_dom_forest,partially_restored,partially_restored,26.0191,-81.50999,3,0,46.33,4,0.72,0.72,0.27,,,,,,,0,,,4,0.9,4.5,,5.08,1.85,16.34
49,PS131,cypress_swamp,partially_restored,partially_restored,25.9974,-81.50018,1,20,5.9,4,1.2,1.2,0.08,,3,0,0.34,,,,,2,5.14,1.28,4,2,7.56,2.88,3
50,PS132,cypress_swamp,partially_restored,partially_restored,26.03869,-81.43746,2,1,72.98,3,1.28,1.28,0.35,,2.78,1.54,0.83,,,,,,4.15,0.92,0.83,,6.89,2.91,9.27
51,PS137,shrubland,partially_restored,partially_restored,26.06777,-81.49608,2,0,53.4,4,0.54,0.54,0.06,2,3.2,0.26,2.09,,,,,1,3.98,0.82,2.71,1,5.7,3,20.88
52,PS138,exotic_dom_forest,partially_restored,partially_restored,26.10859,-81.49631,2,2,39.28,4,0.86,0.86,,2,2.3,0,,,,,,1,6.02,2.7,,,,,
53,PS139,pine_flatwoods,reference_Fak,reference,26.14343,-81.44871,2,2,35.6,4,0.8,0.8,0.02,2,2.06,0.34,2.36,,,,,1,4.43,1.65,5.36,1,8.28,4.23,5.07
54,PS14,exotic_dom_forest,unrestored,unrestored,26.09422,-81.53407,4,0,40.3,4,0.25,0.25,,3,2.22,0,,,,,,2,4.99,2.3,,,,,
55,PS147,pine_flatwoods,partially_restored,partially_restored,26.09386,-81.51077,4,2,22.58,3,0.48,0.48,,2,1.98,0,,,,,,2,4.92,1.32,,1,7.3,4.7,
56,PS15,freshwater_forested_wetland,unrestored,unrestored,25.99239,-81.50869,1,4,75.58,4,2.4,2.4,0.28,,,,,,4.74,1.6,7.14,,8.53,5.94,4.93,,,,
57,PS151,grassland,restored,restored,26.05679,-81.46468,2,2,85.75,4,0.73,0.73,0.25,2,2.34,0.44,2.29,,,,,1,3.62,1.16,11.43,1,5.1,1.4,23.17
58,PS156,shrubland,restored,restored,26.04984,-81.45635,1,0,38.56,4,1.74,1.74,0.25,1,2.62,0.53,8,,,,,,,,,1,4.94,1.66,16.66
59,PS162,pine_flatwoods,partially_restored,partially_restored,26.11769,-81.50956,3,1,95.28,3,0.82,0.82,,3,3.5,0.96,,,,,,3,5.02,1.39,,1,6.98,2.12,
60,PS172,exotic_dom_forest,partially_restored,partially_restored,26.06267,-81.49991,1,1,62.7,2,0.14,0.14,,4,,0,,1,1.64,0,,,,,,,,,
61,PS178,pine_flatwoods,restored,restored,26.11784,-81.45592,3,2,6.7,4,1.06,1.06,0.05,1,2.1,0.4,2.14,,,,,,3.88,0.98,3.43,,6.98,2.78,10.96
62,PS18,mixed_forest,unrestored,unrestored,26.15007,-81.50927,1,2,28.43,1,8.52,8.52,5,4,6.14,1.72,10,,,,,,,,,4,0.7,0,2
63,PS181,exotic_dom_forest,restored,restored,26.1222,-81.48968,2,0,9.35,3,1,1,1.52,3,2.7,0,0.06,,,,,4,2.86,0.96,0.15,2,4.88,2.08,4.31
64,PS184,mixed_forest,restored,restored,26.07578,-81.48619,1,8,59.28,3,1.08,1.08,0.5,4,2.58,0.62,1.26,3,5.9,2.44,9.57,3,,0,4.14,,,,
65,PS188,freshwater_non_forested_wetland,restored,restored,26.12487,-81.48383,1,0,31.03,2,0.32,0.32,,,,,,2,2.56,0.72,,,,,,1,4.16,0,
66,PS19,cypress_swamp,reference_Fak,reference,26.00372,-81.48502,3,20,27.58,2,0.18,0.18,0.03,,,,,3,1.63,0.38,0.29,3,4.4,1.44,8,1,6.42,1.74,20.63
67,PS190,freshwater_forested_wetland,restored,restored,26.08764,-81.45562,2,3,16.33,4,1.46,1.46,0.29,,3.6,0.76,0.86,,,,,2,4.97,2.28,3.86,,6.49,3.06,4.8
68,PS192,freshwater_forested_wetland,reference_Fak,reference,26.13711,-81.43589,1,8,64.58,4,1,1,0.04,3,3.36,0.94,0.63,,,,,2,5.12,1.85,7.57,1,7.89,3.53,2.53
69,PS195,freshwater_forested_wetland,restored,restored,26.07902,-81.47867,1,0,53.33,4,0.88,0.88,0.19,2,4.18,2.5,4.36,,,,,,,,,,6.84,2.81,6.86
70,PS197,pine_flatwoods,restored,restored,26.1058,-81.4876,2,4,46.33,4,0.9,0.9,0.19,4,3.14,1.72,1.11,,,,,2,4.66,1.77,5.21,,6.87,4.5,13.19
71,PS201,pine_flatwoods,restored,restored,26.11991,-81.46027,2,4,53.44,,0.52,0.52,,,1.7,0.34,,,,,,,4,0.94,,,7.3,2.9,
72,PS207,pine_flatwoods,restored,restored,26.11661,-81.4932,2,0,6.15,,1.36,1.36,,,3.64,1.02,,,,,,,,,,,5.16,2.22,
73,PS208,freshwater_forested_wetland,reference_Fak,reference,26.08381,-81.43793,1,2,83.85,4,0.85,0.85,0.19,,3.74,1.98,0.64,,,,,2,4.7,1.27,2.24,1,7.47,4.34,9.43
74,PS225,freshwater_non_forested_wetland,reference_Fak,reference,26.10707,-81.44115,1,13,76.5,1,1.12,1.12,0,2,,0,4.29,,,,,1,2.92,1.16,5.31,,,,
75,PS26,shrubland,unrestored,unrestored,26.08662,-81.54746,2,0,86.68,4, , ,,1,3.08,0,,,,,,2,5.6,2.08,,,,,
76,PS27,exotic_dom_forest,unrestored,unrestored,26.11195,-81.55738,3,0,50.7,4,0.76,0.76,,3,2.34,0,,1,3.75,0.4,,1,5.65,2.05,,1,6.5,2.5,
77,PS28,exotic_dom_forest,unrestored,unrestored,26.00727,-81.56654,2,1,50.78,,3.6,3.6,0.32,,,,,,,,,,,,,1,5.43,1.85,20.56
78,PS30,cypress_swamp,unrestored,unrestored,26.01308,-81.55675,1,12,22,4,1.18,1.18,0.05,2,2.82,0.12,1.87,1,4.03,0.87,17.9,,6.2,1.74,4.86,,,,
79,PS31,mixed_forest,unrestored,unrestored,26.14796,-81.52242,3,1,77.6,1,7.9,7.9,,4,5.46,2.82,,,,,,3,4,0.7,,3,1.5,1.5,
80,PS32,pine_flatwoods,unrestored,unrestored,26.10486,-81.57024,3,1,10.83,4,0.8,0.8,,3,2.2,0,,,,,,1,5.1,2.12,,,,,
81,PS35,cypress_swamp,unrestored,unrestored,26.0271,-81.56862,1,5,51.7,,,,,4,1.5,0.66,0.31,1,4.8,1.58,11.8,,7.6,4.69,0.81,,,,
82,PS38,pine_flatwoods,unrestored,unrestored,26.10683,-81.5275,2,0,83.32,4,0.6,0.6,,2,2.24,2.24,,,,,,2,5.34,2.42,,1,8.2,4.75,
83,PS51,exotic_dom_forest,unrestored,unrestored,26.13173,-81.55782,3,0,20.35,4,0.64,0.64,,2,2.26,0,,,,,,1,4.28,1.24,,1,6.2,3.4,
84,PS54,freshwater_forested_wetland,reference_Fak,reference,26.01156,-81.46896,3,8,48.1,4,0.34,0.34,0.13,4,1.4,0,0.1,,,,,3,4.8,1.28,,2,6.3,2.42,17.06
85,PS56,exotic_dom_forest,unrestored,unrestored,26.09422,-81.53407,3,0,81.56,1,0.35,0.35,,4,1.38,0,,2,3.4,0.3,,2,4.19,1.41,,,,,
86,PS59,shrubland,unrestored,unrestored,26.07983,-81.55025,1,0,16.8,4,0.92,0.92,,1,2.5,0,,,,,,1,4,1,,,,,
87,PS70,exotic_dom_forest,unrestored,unrestored,26.12863,-81.52502,2,2,34.6,4,0.74,0.74,,,,,,1,2,0,,2,4.98,1.52,,2,8.5,5.32,
88,PS73,freshwater_non_forested_wetland,unrestored,unrestored,25.99517,-81.53487,1,0,70.95,4,1.26,1.26,0.15,,2.48,0.75,17.34,1,4.2,4.2,2.75,,,,,1,5.93,1.17,20.37
89,PS86,mixed_forest,unrestored,unrestored,26.07833,-81.54329,2,0,5.84,3,0.82,0.82,,3,3.2,0,,,,,,4,6.92,2.56,,1,8.7,0.8,
90,PS90,freshwater_forested_wetland,unrestored,unrestored,26.00456,-81.55075,2,0,31.68,,,,,3,6.61,2.25,,,,,,3,2.52,0.62,,4,0.72,0,
91,PS93,pine_flatwoods,unrestored,unrestored,26.1287,-81.55259,1,0,96,,,,,1,,0,,1,,0,,1,,0,,4,,0,
92,PS97,pine_flatwoods,unrestored,unrestored,26.0298,-81.53737,2,0,61.55,4,0.8,0.8,,1,2.34,1.64,,,,,,,,,,1,4.96,1.68,
93,PS99,pine_flatwoods,unrestored,unrestored,26.08496,-81.56546,3,3,66.43,1,0.43,0.43,,2,3.06,2,,,,,,1,5.2,2.18,,1,8.55,5.25,
94,TT13,mangrove,reference_10,reference,25.96928,-81.55501,1,0,52.95,,,,,3,4.36,0.54,2.63,,,,,,,,,,,,
95,TT3,mangrove,reference_10,reference,25.95899,-81.56496,1,0,33.15,,,,,4,3.6,0.88,4.09,,,,,,,2.139358974,,,,,
96,TT4,salt_marsh,reference_10,reference,25.96665,-81.5358,1,0,96,4,1.58,1.58,0.68,,,,,,,,,,,,,,,,
97,TT8,salt_marsh,reference_10,reference,25.95963,-81.52611,0,1,96,4,0.15,0.15,0.05,4,1,0,0.3,,,,,,,,,,,,
